Results for Tim_CTB(1) - channel 1 (RFU),,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date
18,1,,14.78,23.34,23.34,26.1,26.1,22.76,22.76,1,Tim_CTB(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,12/12/22 12:46
,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,
18,Tim_CTB,0,1144,1,00:00.0,De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
,,,,,,,,,,,,,,,,
Results for Tim_CTB(1) - channel 1 (RFU),,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,109180,115531,88787,112100,103065,113993,109271,103748,111183,109600,102227,110546,,,,
B,101040,91773,121785,91882,118041,101519,105697,122998,104508,112944,107481,129933,,,,
C,103717,109556,116877,114600,125147,103487,128938,120090,114361,117694,104732,108660,,,,
D,103669,97413,122958,89278,113102,83290,93548,114862,107765,102930,98682,108847,,,,
E,109680,89573,115050,85331,115650,90628,109969,110136,113696,93188,101222,111451,,,,
F,100849,85032,129729,91938,111240,93169,92795,100520,94364,94255,100230,101456,,,,
G,102770,92668,119441,98537,99600,88103,103165,114478,107025,100073,105202,103208,,,,
H,104890,91298,104812,97771,89189,91418,88667,105485,103647,103880,95070,98695,,,,
,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date
19,1,,14.78,23.34,23.34,26.1,26.2,22.76,22.76,1,Tim_CTB(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,12/12/22 12:46
,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,
19,Tim_CTB,0,1081,1,00:00.0,De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Basic assay information ,,,,,,,,,,,,,,,,
Assay ID: ,,,,24277,,,,,,,,,,,,
Assay Started: ,,,,12/12/22 12:30,,,,,,,,,,,,
Assay Finished: ,,,,12/12/22 12:48,,,,,,,,,,,,
Assay Exported: ,,,,12/12/22 12:49,,,,,,,,,,,,
Protocol ID: ,,,,100568,,,,,,,,,,,,
Protocol Name: ,,,,Copy of 96well-CTB_Tim,,,,,,,,,,,,
Serial#: ,,,,1020141,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Protocol information,,,,,,,,,,,,,,,,
Protocol:,,,,,,,,,,,,,,,,
Protocol name,,,,Copy of 96well-CTB_Tim,,,,,,,,,,,,
Number of assay repeats,,,,1,,,,,,,,,,,,
Start assay repeat each,,,,N/A,,,,,,,,,,,,
Number of plate repeats,,,,1,,,,,,,,,,,,
Start plate repeat each,,,,N/A,,,,,,,,,,,,
Is label meas. height used,,,,Yes,,,,,,,,,,,,
Height of measurement,,,,Defined in label,,,,,,,,,,,,
Is gripper height used,,,,No,,,,,,,,,,,,
Mode of measurement,,,,By Rows  bi-directional,,,,,,,,,,,,
Rotated plate,,,,No,,,,,,,,,,,,
Soft move,,,,No,,,,,,,,,,,,
Protocol notes,,,, ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Plate type:,,,,,,,,,,,,,,,,
Name of the plate type,,,,96 General,,,,,,,,,,,,
Number of rows,,,,8,,,,,,,,,,,,
Number of columns,,,,12,,,,,,,,,,,,
Number of the wells in the plate,,,,96,,,,,,,,,,,,
Height of the plate,,,,14.35 mm,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Coordinates of corners:,,,,,,,,,,,,,,,,
96 General + Tim_CTB,,,,,,,,,,,,,,,,
14.38 mm x------------------------------------------------------ x 113.38 mm,,,,,,,,,,,,,,,,
11.24 mm                                                           11.24 mm,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14.38 mm x------------------------------------------------------ x 113.38 mm,,,,,,,,,,,,,,,,
74.24 mm                                                           74.24 mm,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Platemap:,,,,,,,,,,,,,,,,
Plate,,,,1,,,,,,,,,,,,
Group,,,,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,,,
B,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,,,
C,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,,,
D,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,,,
E,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,,,
F,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,,,
G,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,,,
H,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,,,
,,,,,,,,,,,,,,,,
 - - Undefined,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Calculations:,,,,,,,,,,,,,,,,
No calculations.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Auto export parameters:,,,,,,,,,,,,,,,,
Export format,,,,Plate2,,,,,,,,,,,,
Include basic assay information,,,,Yes,,,,,,,,,,,,
Place assay information at,,,,End of file,,,,,,,,,,,,
Include basic plate information,,,,Yes,,,,,,,,,,,,
Place plate information at,,,,Beginning of plate,,,,,,,,,,,,
Include protocol information,,,,Yes,,,,,,,,,,,,
Protocol info level,,,,Large,,,,,,,,,,,,
Include error and warning information,,,,Yes,,,,,,,,,,,,
Include background information,,,,Yes,,,,,,,,,,,,
Add plate number to the file name,,,,Yes,,,,,,,,,,,,
Each plate to separate file,,,,No,,,,,,,,,,,,
Field separator to use,,,,System,,,,,,,,,,,,
File name format,,,,<DefaultDataFolder>\<Date>\<ProtocolName>_<AssayID>.csv,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Operations:,,,,,,,,,,,,,,,,
Plate 1,,,,,,,,,,,,,,,,
  Group 1,,,,,,,,,,,,,,,,
    Measurement,,,,,,,,,,,,,,,,
      Label,,,,Tim_CTB(1),,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Labels:,,,,,,,,,,,,,,,,
Tim_CTB,,,,4000137,,,,,,,,,,,,
Top mirror,,,,General,,,,,,,,,,,,
Bottom mirror,,,,N/A,,,,,,,,,,,,
Exc. filter,,,,Photometric 530,,,,,,,,,,,,
Using of excitation filter,,,,Top,,,,,,,,,,,,
2nd exc. filter,,,,N/A,,,,,,,,,,,,
Using of 2nd excitation filter,,,,Top,,,,,,,,,,,,
Ems. filter,,,,Photometric 590,,,,,,,,,,,,
2nd ems. filter,,,,N/A,,,,,,,,,,,,
Measurement height,,,,6.5 mm,,,,,,,,,,,,
Number of flashes,,,,1,,,,,,,,,,,,
Number of flashes integrated,,,,1,,,,,,,,,,,,
PMT gain,,,,1,,,,,,,,,,,,
Excitation light,,,,100%,,,,,,,,,,,,
Reference excitation light,,,,100%,,,,,,,,,,,,
Emission light,,,,100%,,,,,,,,,,,,
Reference AD gain,,,,4,,,,,,,,,,,,
Reference signal,,,,383728,,,,,,,,,,,,
Last edited,,,,2/11/19 10:20,,,,,,,,,,,,
Last edited by,,,,EnVision,,,,,,,,,,,,
Factory preset,,,,No,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,
Photometric 530,,,,310,,,,,,,,,,,,
Filter type,,,,Excitation,,,,,,,,,,,,
Description,,,,P530 CWL=530nm BW=8nm Tmin=55%,,,,,,,,,,,,
Used with,,,,Absorbance DELFIA - Time-resolved Fluorescence Fluorescence Intensity Fluorescence Polarization LANCE - Time-resolved Fluorescence,,,,,,,,,,,,
Last edited,,,,8/19/14 16:24,,,,,,,,,,,,
Last edited by,,,,Installation,,,,,,,,,,,,
Factory preset,,,,Yes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Photometric 590,,,,314,,,,,,,,,,,,
Filter type,,,,Excitation,,,,,,,,,,,,
Description,,,,P590 CWL=590nm BW=8nm Tmin=40%,,,,,,,,,,,,
Used with,,,,Absorbance DELFIA - Time-resolved Fluorescence Fluorescence Intensity Fluorescence Polarization LANCE - Time-resolved FluorescenceAbsorbance DELFIA - Time-resolved Fluorescence Fluorescence Intensity Fluorescence Polarization LANCE - Time-resolved Fluorescence,,,,,,,,,,,,
Last edited,,,,8/19/14 16:24,,,,,,,,,,,,
Last edited by,,,,Installation,,,,,,,,,,,,
Factory preset,,,,Yes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mirror modules:,,,,,,,,,,,,,,,,
General,,,,401,,,,,,,,,,,,
Used by,,,,Top,,,,,,,,,,,,
Dual,,,,No,,,,,,,,,,,,
Bias,,,,No,,,,,,,,,,,,
Description,,,,BS50,,,,,,,,,,,,
Used with,,,,Luminescence DELFIA - Time-resolved Fluorescence Fluorescence Intensity Fluorescence Polarization LANCE - Time-resolved Fluorescence,,,,,,,,,,,,
Last edited,,,,8/19/14 16:24,,,,,,,,,,,,
Last edited by,,,,Installation,,,,,,,,,,,,
Factory preset,,,,Yes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Instrument:,,,,,,,,,,,,,,,,
Serial number,,,,1020141,,,,,,,,,,,,
Nickname,,,,EnVision,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Assay notifications:,,,,,,,,,,,,,,,,
INFO: Assay aborted at plate 20  plate repeat 1 and well H01. There may be missing results,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Exported with EnVision Workstation version 1.13.3009.1409,,,,,,,,,,,,,,,,
