Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",14.66,23.64,23.64,57.7,57.6,23.25,23.54,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,10/2/2023 3:05:57 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,new alamar blue,0,1467,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
J,517455,398371,476932,521696,445403,443142,464397,452443,450151,457719,462166,416136,408278,454505,452127,441084,455116,450487,416997,479433,470051,479631,529252,547947,
K,522778,561912,510060,500754,509518,482318,492526,496894,502975,503223,476923,462884,448181,491320,482276,467870,479746,483690,469916,513149,534802,549511,562217,527368,
L,546895,468280,466129,478385,453094,460563,480085,457465,421404,504856,510371,436762,440053,449148,443818,451702,442108,489990,409255,421375,478799,461314,533409,535307,
M,541301,567955,569036,534474,570829,519375,546491,495021,541757,477577,494920,462822,465964,523216,538168,493350,509217,522354,476101,559606,533481,513349,524691,523169,
N,550901,566761,542372,535058,514099,514888,527206,513714,533927,489939,509042,480416,484366,473720,479853,456856,487602,465786,471773,455834,468519,533564,545014,533801,
O,540151,522201,558457,526337,505306,525453,561684,543856,500762,578270,489287,527722,484026,496251,547109,502518,514096,543513,505243,529863,539588,520112,552728,523591,
P,470312,521375,469470,535488,531757,398634,524562,550807,537841,564936,501356,436856,504349,500730,526234,514997,529399,491497,521476,498650,500669,501782,495045,473074,


Basic assay information 
Assay ID: ,,,,26033
Assay Started: ,,,,10/2/2023 3:05:15 PM
Assay Finished: ,,,,10/2/2023 3:15:39 PM
Assay Exported: ,,,,10/2/2023 3:19:03 PM
Protocol ID: ,,,,100177
Protocol Name: ,,,,TRF-384 Alamar blue+BS+nbw
Serial#: ,,,,="1020141"



Protocol information
Protocol:
Protocol name,,,,TRF-384 Alamar blue+BS+nbw
Number of assay repeats,,,,1
Start assay repeat each,,,,N/A
Number of plate repeats,,,,1
Start plate repeat each,,,,N/A
Is label meas. height used,,,,Yes
Height of measurement,,,,Defined in label
Is gripper height used,,,,No
Mode of measurement,,,,By Rows  bi-directional
Rotated plate,,,,No
Soft move,,,,No
Protocol notes,,,, 

Plate type:
Name of the plate type,,,,Golemis_FS_screen_07132023
Number of rows,,,,16
Number of columns,,,,24
Number of the wells in the plate,,,,384
Height of the plate,,,,14 mm

Coordinates of corners:
Golemis_FS_screen_07132023
12 mm x--------------------------------------------------------- x 115 mm
9 mm                                                               9 mm

12 mm x--------------------------------------------------------- x 115 mm
76 mm                                                              76 mm

Platemap:
Plate,,,,1
Group,,,,1

,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
B,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
C,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
D,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
E,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
F,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
G,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
H,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
I,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
J,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
K,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
L,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
M,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
N,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
O,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
P,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 

 - - Undefined

Calculations:
No calculations.

Auto export parameters:
Export format,,,,Plate2
Include basic assay information,,,,Yes
Place assay information at,,,,End of file
Include basic plate information,,,,Yes
Place plate information at,,,,End of plate
Include protocol information,,,,Yes
Protocol info level,,,,Large
Include error and warning information,,,,Yes
Include background information,,,,Yes
Add plate number to the file name,,,,Yes
Each plate to separate file,,,,No
Field separator to use,,,,System
File name format,,,,<DefaultDataFolder>\<Date>\<ProtocolName>_<AssayID>.csv

Operations:
Plate 1
  Group 1
    Measurement
      Label,,,,new alamar blue(1)

Labels:
new alamar blue,,,,4000013
Top mirror,,,,General
Bottom mirror,,,,N/A
Exc. filter,,,,Photometric 530
Using of excitation filter,,,,Top
2nd exc. filter,,,,N/A
Using of 2nd excitation filter,,,,Top
Ems. filter,,,,Photometric 590
2nd ems. filter,,,,N/A
Measurement height,,,,6.5 mm
Number of flashes,,,,1
Number of flashes integrated,,,,1
PMT gain,,,,1
Excitation light,,,,0%
Reference excitation light,,,,100%
Emission light,,,,100%
Reference AD gain,,,,2
Reference signal,,,,256388
Last edited,,,,10/13/2006 11:04:00 AM
Last edited by,,,,EnVision
Factory preset,,,,No

Filters:
Photometric 530,,,,310
Filter type,,,,Excitation
Description,,,,P530 CWL=530nm BW=8nm Tmin=55%
Used with,,,,Absorbance DELFIA - Time-resolved Fluorescence Fluorescence Intensity Fluorescence Polarization LANCE - Time-resolved Fluorescence
Last edited,,,,5/24/2023 12:39:03 PM
Last edited by,,,,Installation
Factory preset,,,,Yes

Photometric 590,,,,314
Filter type,,,,Excitation
Description,,,,P590 CWL=590nm BW=8nm Tmin=40%
Used with,,,,Absorbance DELFIA - Time-resolved Fluorescence Fluorescence Intensity Fluorescence Polarization LANCE - Time-resolved FluorescenceAbsorbance DELFIA - Time-resolved Fluorescence Fluorescence Intensity Fluorescence Polarization LANCE - Time-resolved Fluorescence
Last edited,,,,5/24/2023 12:39:03 PM
Last edited by,,,,Installation
Factory preset,,,,Yes

Mirror modules:
General,,,,401
Used by,,,,Top
Dual,,,,No
Bias,,,,No
Description,,,,BS50
Used with,,,,Luminescence DELFIA - Time-resolved Fluorescence Fluorescence Intensity Fluorescence Polarization LANCE - Time-resolved Fluorescence
Last edited,,,,5/24/2023 12:39:03 PM
Last edited by,,,,Installation
Factory preset,,,,Yes

Instrument:
Serial number,,,,1020141
Nickname,,,,EnVision




Assay notifications:
INFO: Assay aborted at plate 9  plate repeat 1 and well P01. There may be missing results

Notifications for plate 1  repeat 1:
WARNING: Plate height defined in the plate editor does not match the actual plate height. Measured height is 14.66 mm. Plate editor height is 14.00 mm. The results may be affected.

Notifications for plate 2  repeat 1:
WARNING: Plate height defined in the plate editor does not match the actual plate height. Measured height is 14.66 mm. Plate editor height is 14.00 mm. The results may be affected.

Notifications for plate 3  repeat 1:
WARNING: Plate height defined in the plate editor does not match the actual plate height. Measured height is 14.66 mm. Plate editor height is 14.00 mm. The results may be affected.

Notifications for plate 4  repeat 1:
WARNING: Plate height defined in the plate editor does not match the actual plate height. Measured height is 14.66 mm. Plate editor height is 14.00 mm. The results may be affected.

Notifications for plate 5  repeat 1:
WARNING: Plate height defined in the plate editor does not match the actual plate height. Measured height is 14.66 mm. Plate editor height is 14.00 mm. The results may be affected.

Notifications for plate 6  repeat 1:
WARNING: Plate height defined in the plate editor does not match the actual plate height. Measured height is 14.66 mm. Plate editor height is 14.00 mm. The results may be affected.

Notifications for plate 7  repeat 1:
WARNING: Plate height defined in the plate editor does not match the actual plate height. Measured height is 14.66 mm. Plate editor height is 14.00 mm. The results may be affected.

Notifications for plate 8  repeat 1:
WARNING: Plate height defined in the plate editor does not match the actual plate height. Measured height is 14.66 mm. Plate editor height is 14.00 mm. The results may be affected.

Notifications for plate 9  repeat 1:
WARNING: Plate height defined in the plate editor does not match the actual plate height. Measured height is 14.66 mm. Plate editor height is 14.00 mm. The results may be affected.



Exported with EnVision Workstation version 1.14.3049.1534
